week_date,scraped_at,total_tokens,open_source_pct,chinese_pct,proprietary_pct,top1_model_id,top1_tokens,top_provider,n_models_tracked
2026-03-30,2026-04-03T17:37:48.348205,19879000000000,80.74,52.12,19.26,labs/fusion,4790000000000,labs,11
2026-04-06,2026-04-06T08:59:32.359887,21438000000000,85.87,64.41,14.13,labs/fusion,4600000000000,qwen,11
2026-04-13,2026-04-13T09:25:04.053105,12098000000000,67.33,48.16,32.67,labs/fusion,1660000000000,anthropic,11
2026-04-20,2026-04-20T09:46:51.528790,11296000000000,51.53,39.31,48.47,labs/fusion,1380000000000,anthropic,11
2026-04-27,2026-04-27T10:04:05.891518,11584000000000,51.37,37.73,48.63,labs/fusion,1580000000000,anthropic,11
2026-05-04,2026-05-04T10:04:19.680917,14876000000000,73.76,33.02,26.24,labs/fusion,3030000000000,labs,11
2026-05-11,2026-05-11T10:51:21.787024,12446000000000,69.79,41.37,30.21,tencent/hy3-preview-20260421:free,2680000000000,tencent,10
2026-08-24,2026-08-24T08:33:57.706797,63540000000000,89.44,45.4,10.56,deepseek/deepseek-v4-flash-0731,11600000000000,deepseek,10
