id,week_date,scraped_at,rank,model_id,model_name,provider,token_count,is_open_source,is_chinese
184,2026-09-14,2026-09-14T14:30:50.900648,1,openai/gpt-5.6-luna,GPT-5.6 Luna,openai,18200000000000,0,0
185,2026-09-14,2026-09-14T14:30:50.900648,2,tencent/hy4-preview,Hy4 preview,tencent,16800000000000,1,0
186,2026-09-14,2026-09-14T14:30:50.900648,3,z-ai/glm-5.3-flash,GLM 5.3 Flash,z-ai,11900000000000,1,0
187,2026-09-14,2026-09-14T14:30:50.900648,4,deepseek/deepseek-v4-flash-0731,DeepSeek V4 Flash 0731,deepseek,11600000000000,1,1
188,2026-09-14,2026-09-14T14:30:50.900648,5,xiaomi/mimo-v2.5,MiMo-V2.5,xiaomi,7770000000000,1,1
189,2026-09-14,2026-09-14T14:30:50.900648,6,deepseek/deepseek-v4.1-flash,DeepSeek V4.1 Flash,deepseek,4940000000000,1,1
190,2026-09-14,2026-09-14T14:30:50.900648,7,deepseek/deepseek-v4-flash,DeepSeek V4 Flash 0423,deepseek,4360000000000,1,1
191,2026-09-14,2026-09-14T14:30:50.900648,8,tencent/hy3,Hy3,tencent,3800000000000,1,0
192,2026-09-14,2026-09-14T14:30:50.900648,9,nvidia/nemotron-3-ultra-550b-a55b:free,Nemotron 3 Ultra (free),nvidia,3560000000000,1,0
193,2026-09-14,2026-09-14T14:30:50.900648,10,google/gemini-3.8-flash,Gemini 3.8 Flash,google,2560000000000,0,0
