id,week_date,scraped_at,rank,model_id,model_name,provider,token_count,is_open_source,is_chinese
154,2026-08-24,2026-08-24T08:33:57.706797,1,deepseek/deepseek-v4-flash-0731,DeepSeek V4 Flash 0731,deepseek,11600000000000,1,1
155,2026-08-24,2026-08-24T08:33:57.706797,2,stealth/ox-alpha,Ox Alpha,stealth,11600000000000,1,0
156,2026-08-24,2026-08-24T08:33:57.706797,3,xiaomi/mimo-v2.5,MiMo-V2.5,xiaomi,9940000000000,1,1
157,2026-08-24,2026-08-24T08:33:57.706797,4,tencent/hy3,Hy3,tencent,8210000000000,1,0
158,2026-08-24,2026-08-24T08:33:57.706797,5,deepseek/deepseek-v4-flash,DeepSeek V4 Flash 0423,deepseek,5460000000000,1,1
159,2026-08-24,2026-08-24T08:33:57.706797,6,openai/gpt-5.6-luna,GPT-5.6 Luna,openai,4910000000000,0,0
160,2026-08-24,2026-08-24T08:33:57.706797,7,nvidia/nemotron-3-ultra-550b-a55b:free,Nemotron 3 Ultra (free),nvidia,4750000000000,1,0
161,2026-08-24,2026-08-24T08:33:57.706797,8,z-ai/glm-5.2,GLM 5.2,z-ai,3420000000000,1,0
162,2026-08-24,2026-08-24T08:33:57.706797,9,deepseek/deepseek-v4-pro,DeepSeek V4 Pro 0423,deepseek,1850000000000,1,1
163,2026-08-24,2026-08-24T08:33:57.706797,10,google/gemini-3.7-flash,Gemini 3.7 Flash,google,1800000000000,0,0
